"","index","content","date","polarity"
"27","27","'AKP ile HDP anlaşacak Başkanlık sistemi gelecek'  ulan ne kafa ütülediniz böyle diye diye, AKP ile CHP anlaşıp HDPyi yiyorlar,afferim size","2016-04-28 12:26:57+00:00","Neutral"
"28","28","Dsp Eski Genel Başkan Adayı Erol Özavcı Başkanlık Sistemi İçin Türkiye Turuna Çıktı https://t.co/kCLYYD5uUD https://t.co/xAh5XLm9Hk","2016-04-28 11:45:27+00:00","Neutral"
"29","29","7)
tek adamın iki dudağının arasına hapsedecek ""Başkanlık Sistemi""ne asla geçit vermeyecek...","2016-04-28 11:33:31+00:00","Negative"
"30","30","5)
hiç sıcak bakmıyor ve hiç sıcak bakmayacak... 
Yani...
Türk halkı, ""Başkanlık Sistemi""ne hiç hazır değil, hiç de hazır olmayacak...","2016-04-28 11:32:37+00:00","Negative"
"31","31","3)
""çift başlılık mi var ve halk ""Başkanlık Sistemi""ne hazır mı?!.
Yanıtını da vereyim:
Ülkede ""çift başlılık"" yok, her dediği olan ""tek","2016-04-28 11:30:54+00:00","Negative"
"32","32","Yeni Anayasa ve Başkanlık Sistemi @kurtcanc @AliOsmanOzdemir @akgenclikankara https://t.co/vpJSyX6qRw","2016-04-28 11:30:41+00:00","Neutral"
"33","33","İÜ ADK ve HHK'nın, Süheyl Batum ile gerçekleştirdiği ""Yeni Anayasa ve Başkanlık Sistemi"" adlı etkinliği başladı. https://t.co/S98HiHbreP","2016-04-28 11:28:24+00:00","Neutral"
"34","34","Süheyl Batum'un konuşmacı olarak katıldığı ""Yeni Anayasa ve Başkanlık Sistemi"" adlı etkinliğimiz başladı. https://t.co/mO1u6ZJyaV","2016-04-28 11:23:03+00:00","Neutral"
"35","35","CTP Mv. Armağan Candan da, #KKTC'de Başkanlık Sistemi istemiş: ""Güney'de var olan Başkanlık Sistemi, bizde de olsun"" https://t.co/ARFqNhaWG8","2016-04-28 10:50:52+00:00","Neutral"
"36","36","Baskanlik Sistemi gelirse laiklik tartismalari son bulur,baskanlik laikligin teminatidir xbxxvxxb jrsgjxwc","2016-04-28 10:37:35+00:00","Negative"
"37","37","Anayasada yeni trend:  Başkanlık sistemi bes, baki heves!","2016-04-28 10:36:48+00:00","Negative"
"38","38","Yeni Anayasa/Başkanlık sistemi gündeme gelmesin diye yapılan taktiklerin farkında olmak gerekir.Yeni anayasa değilde neden dokunulmazlık?","2016-04-28 10:34:02+00:00","Neutral"
"39","39","Cumhurbaşkanı Erdoğan hükümete AB vize görüşmeleri ve Başkanlık sistemi meselelerinde ciddi uyarılarda bulunmuş eminim dikkate alınacaktır","2016-04-28 10:32:33+00:00","Neutral"
"40","40","Bi insanın ya da bir Ülkenin tek derdi nasıl Başkanlık sistemi olabilir? Akılların durduğu andır.","2016-04-28 10:10:33+00:00","Neutral"
"41","41","Davutoğlu : Hedefimiz başkanlık sistemi.

Bence Erdoğan'ın koruması olur senden !

#İstikrardanPatlıyoruz #ŞakaDeğil https://t.co/59pBTvY9Ip","2016-04-28 10:03:59+00:00","Negative"
"42","42","Hani gelişmiş ülkelerden bahsediliyor ya laiklik vs. olaylarında, o ülkelerden değişik bir başkanlık sistemi de... https://t.co/kPpTb1qcPU","2016-04-28 09:50:02+00:00","Neutral"
"43","43","Davutoğlu saldırının ardından konuşuyo ve yine sözü tek hedefimiz başkanlık sistemi diyor pes yani...","2016-04-28 09:42:53+00:00","Negative"
"44","44","Anayasaya Başkanlık Sistemi ekleyelim,
En başa, en başa!!!
Anayasaya Laiklik tarifini yazalım,
Boş iş, boş iş!!!
Doğru, zaten dünyada boş.!","2016-04-28 09:17:37+00:00","Negative"
"45","45","Baktılar ki başkanlık sistemi çoğunluk bulamıyor, laiklik üzerinden başkanlık referandumuna hazırlanıyorlar. Molla seçeceğiz sanki amk!","2016-04-28 09:11:37+00:00","Negative"
"46","46","@eagencye Mehmet Şimşek'in bile felakete sürükleniyoruz açıklamasının ardından Başkanlık sistemi gelirse, böyle olmaz çıkacak.","2016-04-28 09:08:08+00:00","Negative"
"47","47","başkanlık sistemine karşı çıkanlar

osmanlı başkanlık sistemi ile yönetiliyordu
650 yıl imparatorluk sürdürdü... https://t.co/5ENhXGyTdM","2016-04-28 09:04:11+00:00","Positive"
"48","48","Laiklik Düşmanlarına En Büyük Tokadı 19 Mayıs'ta Atıyoruz !

Bölücü teröre, yeni anayasa ve başkanlık sistemi... https://t.co/RO9P3f7eyM","2016-04-28 09:04:05+00:00","Positive"
"49","49","Ekonomi penceresinden başkanlık sistemi https://t.co/NyM9ygh5y3  @yenisafak","2016-04-28 09:01:49+00:00","Neutral"
"50","50","@DikenComTr  Davutoğlu na sormak lazım RTE dayatmasa yine de yeni anayasayı  başkanlık sistemi etrafında dokur mu?","2016-04-28 08:59:22+00:00","Negative"
"51","51","Başkanlık uğruna parlementer sistemi n geldiği hal. https://t.co/vIhrGLXglV","2016-04-28 08:46:59+00:00","Negative"
"52","52","Davutoğlu bir kez daha: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/GrGe5lkaen https://t.co/XJVtqzpIxB","2016-04-28 08:37:01+00:00","Neutral"
"53","53","Davutoğlu: Niyetimiz sistemi tümüyle değiştirmektir, hedefimiz başkanlık - https://t.co/ZffxB5Ytet https://t.co/9ikW0e0tnk","2016-04-28 08:24:49+00:00","Neutral"
"54","54","‘Odaklanmamız gereken husus tek bir plandır, başkanlık sistemi’ https://t.co/hBiXg0VhfO https://t.co/aCRiw2pY61","2016-04-28 08:24:08+00:00","Neutral"
"55","55","Başkanlık sistemi için herşey hazır. 
https://t.co/BEojHVqV1r","2016-04-28 08:21:34+00:00","Positive"
"56","56","@erenerdemnet ama bizim başkanlık sistemi farklı olacak anlaman dileklerimle... Bu arada taziyeye gittin mi? Geç kalma kızar SAHİPLERİN...","2016-04-28 08:20:31+00:00","Neutral"
"57","57","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/fWiJoRSy1w https://t.co/Aie0ek5dBx","2016-04-28 08:19:15+00:00","Neutral"
"58","58","Davutoğlu bir kez daha: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/Tj7aWVhMSI https://t.co/hDWUOpV3dU","2016-04-28 08:10:20+00:00","Neutral"
"59","59","Davutoğlu:Yeni anayasayı başkanlık sistemi etrafında dokuyacağız'Ona gücünüz yetmeyecek Davut efendi.uzaktan kumanda  yapılmaz anayasalar.","2016-04-28 08:04:35+00:00","Negative"
"60","60","Cumhurbaşkanı Erdoğan: Kendi Meşveret Meclisi'mde Başkanlık Sistemi çalışmaları yapıyorum
https://t.co/V04WS3R7m1 … https://t.co/tA0NkhOctB","2016-04-28 07:58:36+00:00","Neutral"
"61","61","""Türkiye'nin Geleceği Başkanlık Sistemi ve Yeni Anayasa"" konulu konferansa davetlisiniz. https://t.co/U6b03b938i","2016-04-28 07:54:03+00:00","Neutral"
"62","62","Davutoğlu: Şu anki hedefimiz başkanlık sistemi https://t.co/Cpy05hTcaE https://t.co/1KvNmFutKb","2016-04-28 07:52:09+00:00","Neutral"
"63","63","Davutoğlu: Şu anki hedefimiz başkanlık sistemi Başbakan Ahmet Davutoğlu, “Bizim şu anki hedefimiz, odaklandığımız… https://t.co/EXyamC6o9G","2016-04-28 07:50:06+00:00","Neutral"
"64","64","#bursa :""Şu anki hedefimiz başkanlık sistemi.."" #İstikrardanPatlıyoruz #kilis https://t.co/FzJt99FEyB","2016-04-28 07:37:55+00:00","Neutral"
"65","65","Türkiye'de 'Başkanlık Sistemi' tartışmaları neden başladı?
Flood: https://t.co/LC9OHTSgNE","2016-04-28 07:35:51+00:00","Neutral"
"66","66","Davutoğlu: Şu anki hedefimiz başkanlık sistemi
https://t.co/0HakOJCgRG https://t.co/TSlUjisR1R","2016-04-28 07:26:54+00:00","Neutral"
"67","67","Uşşaki Tarikatı Lideri Nurullah EfendiTayyip Erdoğan'ın artık misyonunu tamamladığı belirterek Başkanlık sistemi falan diyede hiç zorlamasın","2016-04-28 07:19:17+00:00","Negative"
"68","68","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/qxmm4FgjJs https://t.co/IQScdfyP65","2016-04-28 07:10:09+00:00","Neutral"
"69","69","Bu İsmail Kahraman'ın kurucusu olduğu Birlik Vakfı 2012 başında sunduğu Anayasa Taslağı çalışmasında ""Başkanlık Sistemi""ni önermiş.","2016-04-28 07:07:09+00:00","Neutral"
"70","70","Ekonomi penceresinden başkanlık sistemi  https://t.co/ntwyVKQ8iX","2016-04-28 07:05:05+00:00","Neutral"
"71","71","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/YeFJIRrBwr","2016-04-28 06:56:59+00:00","Neutral"
"72","72","Başkanlık sistemi ve Erdoğan'a destek için Türkiye turuna çıktı https://t.co/LY8CQeaVJS","2016-04-28 06:56:01+00:00","Neutral"
"73","73","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/tw7wJJXe8V https://t.co/m3NWfymT7c","2016-04-28 06:55:53+00:00","Neutral"
"74","74","▶Başbakan @Ahmet_Davutoglu ndan Yeni Anayasa ve Başkanlık Sistemi açıklaması..

@avfikretyeni 
@mecertas 
@lamiosge https://t.co/0TVEaoBNmT","2016-04-28 06:49:58+00:00","Neutral"
"75","75","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/erdkTFSDY7 https://t.co/4SGujwqBtZ","2016-04-28 06:44:27+00:00","Neutral"
"76","76","Erdal Tanas Karagöl : Ekonomi penceresinden başkanlık sistemi https://t.co/9Bp53Knu6g","2016-04-28 06:43:00+00:00","Neutral"
"77","77","Oraya değinmiycem burya değinmiycem, e niye başkanlık sistemi anlatıyorsun arkadaşım ?","2016-04-28 06:42:23+00:00","Negative"
"78","78","Oluşturulmaya çalışılan Başkanlık sistemi iyidir algısı işe yaramamış olacak ki, Başkanlık isteyenler %33'te kalmış. https://t.co/iOziO2WHED","2016-04-28 06:27:58+00:00","Negative"
"79","79","Başkanlık sistemi ile ilgili özellikle ekonomik kalkınma vurgusu yapan haberleri itina ile görmemezlikten gelen umulmadık gazeteler?Hayırdır","2016-04-28 06:24:46+00:00","Positive"
"80","80","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/GckPdZ1kXA","2016-04-28 06:23:20+00:00","Neutral"
"81","81","Ekonomi penceresinden başkanlık sistemi @erdalkaragol 
 https://t.co/zGvVPzecRE","2016-04-28 06:18:05+00:00","Neutral"
"82","82","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/SgfgH6G3pj","2016-04-28 06:11:19+00:00","Neutral"
"83","83","'Odaklanmamız gereken husus tek bir plandır, başkanlık sistemi' https://t.co/Kw9n0Uc4sp","2016-04-28 06:10:45+00:00","Positive"
"84","84","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/3RtjOk5iYV","2016-04-28 06:10:20+00:00","Neutral"
"85","85","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/fsKuOOFw7y","2016-04-28 06:10:11+00:00","Neutral"
"86","86","Erdal Tanas Karagöl : Ekonomi penceresinden başkanlık sistemi https://t.co/j8JJMIHf96","2016-04-28 06:06:07+00:00","Neutral"
"87","87","Davutoğlu: Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız   

https://t.co/8LxWh7wFZ3 https://t.co/Kq14jy7WYM","2016-04-28 06:02:17+00:00","Neutral"
"88","88","Başbakan Davutoğlu: Hedefimiz başkanlık sistemi https://t.co/454TdvbBlv https://t.co/dNOBkHJw37","2016-04-28 06:00:21+00:00","Neutral"
"89","89","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız - Politika - T24 https://t.co/9rz93w8Nwa","2016-04-28 05:53:16+00:00","Neutral"
"90","90","Laiklik tartışması, Başkanlık Sistemi için planlanan Gezi Parkı benzeri bir algı yöntemidir.

Bunda da halk... https://t.co/zQtqizlFbh","2016-04-28 05:50:36+00:00","Positive"
"91","91","'Odaklanmamız gereken husus tek bir plandır, başkanlık sistemi' https://t.co/mDEVo0igXo #haber #dunya","2016-04-28 05:47:09+00:00","Neutral"
"92","92","@DikenComTr  yeni anayasada yapılması gereken en önemli değişiklik temel hak ve özgürlüklerde olmalıdır Başkanlık sistemi değil","2016-04-28 05:46:13+00:00","Negative"
"93","93","7. Davutoğlu, Başkanlık Sistemi hazırlıklarını ""demlenmeye"" bıraktıkça, Havuz'dan çamur banyosu için hazırlıklar öne çıkacaktır.","2016-04-28 05:45:42+00:00","Neutral"
"94","94","6. Mesaj şu: ""Başbakan(lık) ve Parlamenter Sistem, sorunları çözemiyor. Sorunlar sadece Güçlü ve Dindar bir Başkanlık Sistemi ile çözülür"".","2016-04-28 05:41:33+00:00","Positive"
"95","95","kamyonu hızlıca şarampole sürüyor
""bizim niyetimiz bu sistemi tümüyle değiştirmektir yeni anayasayı başkanlık sistemi etrafında dokuyacağız""","2016-04-28 05:27:25+00:00","Negative"
"96","96","Ekonomi penceresinden başkanlık sistemi  https://t.co/9zIoRK4OcW","2016-04-28 05:17:06+00:00","Neutral"
"97","97","Cumhurbaşkanı Başdanışmanı Bülent Gedikli'den Başkanlık Sistemi yorumu: Türkiye uçacak  https://t.co/lYTeSs8OjQ https://t.co/Mp4HlmluLq","2016-04-28 05:08:29+00:00","Positive"
"98","98","Cumhurbaşkanı Başdanışmanı Bülent Gedikli'den Başkanlık Sistemi yorumu: Türkiye uçacak https://t.co/1Ks7RMQvGH https://t.co/M1aKUZ2EKK","2016-04-28 05:07:52+00:00","Positive"
"99","99","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız

https://t.co/D8Gq2Z4XVG https://t.co/LJXmM4CIpr","2016-04-28 05:01:11+00:00","Neutral"
"100","100","? Bursa
Her şey başkanlık sistemi ve yeni anayasa için mi yapılıyor 
Bu bağlantıyı Nasıl birleştiriyor
Olay yerine anında çevik polis v toma","2016-04-28 04:58:41+00:00","Neutral"
"101","101","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/GrGe5lBL5V https://t.co/1bZTQEaP7p","2016-04-28 04:56:19+00:00","Neutral"
"102","102","'Yeni anayasayı başkanlık sistemi etrafında dokuyacağız' https://t.co/pfFrSIYF9a","2016-04-28 04:50:30+00:00","Neutral"
"103","103","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/xZd3hr0S7v https://t.co/qsoeh3bWKj","2016-04-28 04:42:55+00:00","Neutral"
"104","104","Davutoğlu: Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız https://t.co/dlvBBGsXjO","2016-04-28 04:33:46+00:00","Neutral"
"105","105","Davutoğlu: Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız https://t.co/WeODKZ9oD3","2016-04-28 04:33:41+00:00","Neutral"
"106","106","'Yeni anayasayı başkanlık sistemi etrafında dokuyacağız' https://t.co/GT0YAcvS2h","2016-04-28 04:28:53+00:00","Neutral"
"107","107","Davutoğlu: Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız https://t.co/YFwpCdbHrf https://t.co/UrH4RQFe2v","2016-04-28 04:24:11+00:00","Neutral"
"108","108","Davutoğlu bir kez daha: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/8TGoMIlL7s https://t.co/pDHvPLeB9T","2016-04-28 04:21:02+00:00","Neutral"
"109","109","Cumhurbaşkanı Erdoğan: Kendi Meşveret Meclisi'mde Başkanlık Sistemi çalışmaları yapıyorum
https://t.co/bdZfpWJ6nb https://t.co/98p5Id5aQA","2016-04-28 04:15:49+00:00","Neutral"
"110","110","'Odaklanmamız gereken husus tek bir plandır, başkanlık sistemi'İKİZYASALARLA VATANIBÖLME SÖZÜNÜ BŞKNLIKLA YAPACAKLR https://t.co/TKxOqILAHZ","2016-04-28 04:13:27+00:00","Neutral"
"111","111","Davutoğlu: Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız https://t.co/BkhzAhsYcA","2016-04-28 03:02:31+00:00","Negative"
"112","112","'Odaklanmamız gereken husus tek bir plandır, başkanlık sistemi' https://t.co/FG1ev9Wba5 https://t.co/xEirhOKxTt","2016-04-28 02:44:14+00:00","Neutral"
"113","113","Turgut Özal ın 1990 da önerdiği başkanlık sistemi dönemin aktörleri tarafından engellendi https://t.co/DxTXBWHHAu","2016-04-28 01:26:29+00:00","Neutral"
"114","114","8. Cumhurbaşkanı Turgut Özal, Türkiye için neden başkanlık sistemi istiyordu? Hayalinde nasıl bir yeni anayasa vardı https://t.co/Dcueccyy2y","2016-04-28 01:16:36+00:00","Neutral"
"115","115","367 Sabihi başkan yapalım dense, şıppadanak hepsi başkanlık sistemi isterizci olmamı :)","2016-04-27 23:18:27+00:00","Positive"
"116","116","Davutoğlu: İlk hedefimiz başkanlık sistemi, demiş. Başkanlık sistemi olursa Davutoğlu ne olur?","2016-04-27 23:10:54+00:00","Neutral"
"117","117","Davutoğlu bir kez daha: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız: Başbakan Ahmet Davutoğlu, 'ye... https://t.co/Dg2V5PLCSv","2016-04-27 23:04:42+00:00","Neutral"
"118","118","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız (Ufkumuz) https://t.co/Qe55DHVqwg  #zaza","2016-04-27 23:01:11+00:00","Neutral"
"119","119","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/xZd3hr0S7v https://t.co/ADL7WImoYF","2016-04-27 23:00:22+00:00","Neutral"
"120","120","@tvahaber 
başkanlık sistemi nedir daha doğru düzgün bilinmiyor onu tam olarak izah edilip ondan sonra anket yöntemi ile yapılır","2016-04-27 22:41:16+00:00","Neutral"
"121","121","Başkanlık Sistemi gelsin bu kadar milletvekilleri olmasın yazık günah o emeğe paraya zamana adam gibi adam olsun üç beş olsun SİRİN PAYZİN","2016-04-27 22:27:32+00:00","Positive"
"122","122","Davutoğlu: Başkanlık sistemi şart
https://t.co/mB5NVwTZFV","2016-04-27 22:26:23+00:00","Neutral"
"123","123","Davutoğlu: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/LZTjzP3NC3 https://t.co/MnXs4lWTQG","2016-04-27 22:08:05+00:00","Neutral"
"124","124","Başkanlık sistemi çok hoştir","2016-04-27 22:03:33+00:00","Positive"
"125","125","Davutoğlu bir kez daha: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız https://t.co/2kKUhzCcoE","2016-04-27 21:41:17+00:00","Neutral"
"126","126","Başkanlık sistemi gelince senin durumun ne olacak. Arka kapının dış mandalı iyi mi? :))) https://t.co/BV3eDnqWZ9","2016-04-27 21:40:27+00:00","Neutral"
"127","127","Başkanlık sistemi ne yazık ki sadece Erdoğan'ın ve bir avuç insanın gündeminde yer bulabiliyor https://t.co/datEVFzS8Y","2016-04-27 21:27:00+00:00","Neutral"
"128","128","""Sistem değişikliği devletin beka meselesidir,Başkanlık sistemi Devletin Milletleşmesidir"" @kbbmustafaak @mkulunk @varank @hasandogan","2016-04-27 21:11:41+00:00","Positive"
"129","129","Davutoğlu: ""Hedefimiz 'Başkanlık' sistemi"" https://t.co/sNzrdjWDiM @AvrupaForum aracılığıyla","2016-04-27 21:08:30+00:00","Neutral"
"130","130","Kendini inkar eden adam..
😂😂😋
Davutoğlu: Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız https://t.co/lFL3ABktuv","2016-04-27 21:08:13+00:00","Neutral"
"131","131","Davutoğlu'nun Başkanlık Sistemi Açıklaması - https://t.co/bshdjK4gTQ https://t.co/twRxsUT9sV","2016-04-27 21:07:57+00:00","Neutral"
"132","132","Davutoğlu bir kez daha: Yeni anayasayı başkanlık sistemi etrafında dokuyacağız
https://t.co/8TGoMIlL7s https://t.co/cbrSlSHC9S","2016-04-27 21:01:21+00:00","Neutral"
"133","133","Ozaman doğuya başkanlık Sistemi gelsin sizde orya girmeyin en azından kimseler ölmez sizsiz daha güzel heryer https://t.co/cUqpJSj7aX","2016-04-27 21:00:55+00:00","Negative"
"134","134","Bu aralar siyasi komut alan ne kadar canlı hoparlör varsa Başkanlık Sistemi sesi çıkarıyor.","2016-04-27 20:59:16+00:00","Neutral"
"135","135","Otoriter ve faşizan #baskanliksistemi nin ülkeyi yok etmesini istemeyen, kişilerin değil toplumun çıkarını düşünenler seslerini cikarmalidir","2016-04-27 20:58:24+00:00","Negative"
"136","136","Başkanlık sistemi gelince yüce başkan canlı bombaları tespit edip süpermen gibi giderek etkisiz hale getirecek.Teröristleri yok edecek","2016-04-27 20:52:57+00:00","Negative"
"137","137","Davutoğlu: Hedefimiz başkanlık sistemi (Nerîna Azad) https://t.co/a51A8lqf7V  #TwitterKurds","2016-04-27 20:42:32+00:00","Neutral"
"138","138","Davutoğlu: Hedefimiz başkanlık sistemi (Nerîna Azad) https://t.co/4aKQhwGRWS","2016-04-27 20:41:25+00:00","Neutral"
"139","139","Hangi başkanlık sistemi? ABD ve Fransa’daki başkanlık sistemlerinin nasıl işlediğine baktık https://t.co/OE6MVVDiT0","2016-04-27 20:36:44+00:00","Neutral"
"140","140","2- Davutoğlu Yeni Anayasayı Başkanlık Sistemi Etrafında Dokuyacağız
https://t.co/QmCEBPGLpR https://t.co/34Spjb3Mb5","2016-04-27 20:35:13+00:00","Neutral"
"141","141","Davutoğlu'ndan 'yeni anayasa ve başkanlık sistemi' açıklaması: ""Odaklandığımız tek plan başkanlıktır.""
https://t.co/BglW79I8xk","2016-04-27 20:30:21+00:00","Neutral"
"142","142","@imc_televizyonu 
aciklayin su  Baskanlik  sistemini de bilelim.neler var altinda?
Sadece bakanlik sistemi diye duyuyoruz","2016-04-27 20:24:35+00:00","Neutral"
"143","143","Davutoğlu yerli yersiz parelel diyorsa, Erdoğan'ı övüyorsa, hedef başkanlık sistemi diyorsa gönderileceğinden emin olmuş ön alıyor demektir.","2016-04-27 20:24:20+00:00","Neutral"
"144","144","Hangi başkanlık sistemi? ABD ve Fransa’daki başkanlık sistemlerinin nasıl işlediğine baktık https://t.co/fJjLULYlPp https://t.co/os1PypreP8","2016-04-27 20:23:28+00:00","Neutral"
"145","145","Davutoğlu’ndan başkanlık sistemi açıklaması! -&gt; https://t.co/o3qh4SW3or https://t.co/KiDbfc5YGp","2016-04-27 20:22:19+00:00","Neutral"
"146","146","Davutoğlu: Şu anki hedefimiz başkanlık sistemi https://t.co/y1qU2LNTsr https://t.co/H1rCS5sdge","2016-04-27 20:22:09+00:00","Neutral"
"147","147","Davutoğlu: Şu anki hedefimiz başkanlık sistemi
https://t.co/0HakOJCgRG https://t.co/yfA3J0yiaM","2016-04-27 20:18:12+00:00","Neutral"
